Type,model,MMSE MAE,MMSE MSE,MMSE R2,MMSE RMSE
Regression,MR1_1,27.341082645365088,752.0251995960332,-166.47484521402043,27.423077865112685
Regression,MR1_2,27.19137093840841,743.951311306406,-161.41089958896254,27.275470872313203
Regression,MR1_3,27.64569009093131,766.0062090380655,-443.82786298302096,27.676817176800977
Regression,MR1_4,27.229558007197785,746.0249197596593,-162.02781697083338,27.313456752298112
